Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
scene1_bb04f794	n		game/scene1.rpy	10	n "[what]" with vpunch
scene1_607622b0	q	Hello? Helloooo? Is anyone in there?	game/scene1.rpy	12	q "[what]"
scene1_668633c0	q	Blink twice if you can hear me!	game/scene1.rpy	13	q "[what]"
scene1_64e499d8	q	They're not blinking.	game/scene1.rpy	14	q "[what]"
scene1_e31427fb	q	THEY'RE NOT BLINKIN-\nWait, you don't have eyelids.	game/scene1.rpy	15	q "[what]"
scene1_06d2b4cb	q	Uhhh... How about nodding?	game/scene1.rpy	16	q "[what]"
scene1_cb275b61	q	Maybe with a little help...	game/scene1.rpy	17	q "[what]"
scene1_fa12a8f5	n	A small hand reaches out to touch your head.	game/scene1.rpy	21	n "[what]"
scene1_fe308a49	n	It's warm.	game/scene1.rpy	22	n "[what]"
scene1_79e418ac	n	You sit up.	game/scene1.rpy	26	n "[what]"
scene1_5d26a7bf	n	Above you is an unfamiliar ceiling. Pitched wooden beams over a small attic.	game/scene1.rpy	27	n "[what]"
scene1_b0506c79	n	Early light streams golden through the window. The morning birdsong is foreign but beautiful.	game/scene1.rpy	29	n "[what]"
scene1_d98cc28a	n	The walls are strewn with drawings, the uneven floor littered with books and candles.	game/scene1.rpy	30	n "[what]"
scene1_2f87b2e5	n	There is a small, unmade bed in the corner, a disheveled arrangement of sheets and leather tomes.	game/scene1.rpy	31	n "[what]"
scene1_1365eb15	n	The owner of which peers over her hat at you, uncomfortably close now.	game/scene1.rpy	34	n "[what]"
scene1_f290054d	n	You shift away, and she skitters back.	game/scene1.rpy	40	n "[what]"
scene1_34c5ecec	q	Hey! You moved! That's great!! It worked!! I'm AMAZING!!!	game/scene1.rpy	50	q "[what]"
scene1_cc3358cf	s	Where am I? Who are you? What's going on? Why-	game/scene1.rpy	53	s "[what]"
scene1_f4dacf2e	n	You are becoming aware of your body in spurts. Currently seated, your hands support you.	game/scene1.rpy	56	n "[what]"
scene1_30cfebd6	n	The ground feels tacky to touch, prompting you to really see it... and your hands.	game/scene1.rpy	57	n "[what]"
scene1_1cbdd597	s	Why is the ground covered in blood? WHY ARE MY HANDS PAWS?!?	game/scene1.rpy	58	s "[what]"
scene1_86243df1	a	I'm Aria! You're my favorite doll!	game/scene1.rpy	63	a "[what]"
scene1_c77462ac	a	"Jophiel the Duskborn, catfolk master thief\nRight hand of the Weald Queen! Unmatched in the fields of battle AND wits-"	game/scene1.rpy	69	a "[what]"
scene1_e991dd00	s	My name is Serena.\nI'm an Uber driver from Cleveland.	game/scene1.rpy	72	s "[what]"
scene1_83a47e79	s	What on Earth are you talking about?	game/scene1.rpy	73	s "[what]"
scene1_1e71aa81	a	Ah! That's just the thing! You're not on Earth anymore at all!	game/scene1.rpy	76	a "[what]"
scene1_55113b6f	a	I've summoned you here, Jophiel, to help me perform a mighty deed.	game/scene1.rpy	79	a "[what]"
scene1_a4eda98c	a	We're going on a Quest.	game/scene1.rpy	82	a "[what]"
scene1_0e085c6c	a_excite	AREN'T YOU EXCITED?!	game/scene1.rpy	85	a_excite "[what]" with vpunch
scene1_9577ad1e	n	The young girl beams. The blood-drawn ritual circle under you is starting to dry on the raw wood planks.	game/scene1.rpy	88	n "[what]"
scene1_4bc777dd	n	You make one last futile attempt at normalcy.	game/scene1.rpy	89	n "[what]"
scene1_d6ffe781	s	Is this... is this some kind of TikTok trend? Is someone filming me right now?	game/scene1.rpy	93	s "[what]"
scene1_790d0d02	a	What's a TikTok?	game/scene1.rpy	96	a "[what]"
scene1_4ee99c9e	a	Is it like a clock?? I don't have a clock, silly!	game/scene1.rpy	99	a "[what]"
scene1_e356d0ac	a	I'm not allowed around time anymore.	game/scene1.rpy	102	a "[what]"
scene1_e1554201	s	...	game/scene1.rpy	105	s "[what]"
scene1_bb8e4b4e	a	...	game/scene1.rpy	108	a "[what]"
scene1_e1554201_1	s	...	game/scene1.rpy	111	s "[what]"
scene1_3c24c522	n	You change the subject.	game/scene1.rpy	112	n "[what]"
scene1_6c5f3997	s	That hat... are you some kind of witch? Assuming any of this is real at all and it's not just a really weird dream.	game/scene1.rpy	115	s "[what]"
scene1_40943b25	n	You had a slice of mushroom and black olive pizza last night, but they were just button mushrooms, right? Not the other kind...?	game/scene1.rpy	116	n "[what]"
scene1_4fba4cbc	a	Ahem. I am a SORCERESS, not a witch!	game/scene1.rpy	119	a "[what]"
scene1_61edafe6	a	The hat is for style.	game/scene1.rpy	122	a "[what]"
scene1_8ba330ed	n	She poses, obviously trying to appear cool.\nYou brush some dust off your knee and stand.	game/scene1.rpy	125	n "[what]"
scene1_084f448f	n	You're a little taller than you were before, probably, although there isn't anything familiar to measure against in here.	game/scene1.rpy	126	n "[what]"
scene1_7877d24d	s	Great, so you're a sorceress, and I'm a... toy? A five-foot talking cat?	game/scene1.rpy	127	s "[what]"
scene1_27ae3d88	n	You feel the pointed ears in your hair and the weight of a long, thin tail stretching out behind you.	game/scene1.rpy	128	n "[what]"
scene1_14f17e0d	a	Well, Jophiel-	game/scene1.rpy	130	a "[what]"
scene1_9fbf3f45	s	It's Serena.	game/scene1.rpy	133	s "[what]"
scene1_e356d796	a	Hmmmm... That doesn't sound like much of a quest name. 'Serenas" don't really go to do great deeds.	game/scene1.rpy	135	a "[what]"
scene1_3c4a6f1e	n	You almost interject about the accomplishments of the famous people on Earth who share your name.	game/scene1.rpy	137	n "[what]"
scene1_73e848ec	n	But it's not like you've ever really done anything, personally, so you bite your tongue.	game/scene1.rpy	138	n "[what]"
scene1_88df0798	a	Besides! Didn't you want to be someone else?	game/scene1.rpy	140	a "[what]"
scene1_5aa49bec	n	Her question is genuine in a way children's questions often are, but your pulse quickens all the same.	game/scene1.rpy	142	n "[what]"
scene1_49c95ed0	s	What do you mean?	game/scene1.rpy	143	s "[what]"
scene1_265c8fbc	s	...How did you know that?	game/scene1.rpy	144	s "[what]"
scene1_cc80bbe2	a	Oh, it's a condition for my spell. I can only summon willing souls. It only works if you don't want to be who or where you are.	game/scene1.rpy	146	a "[what]"
scene1_82988d6c	a	I wouldn't want to pull you here if you were happy back home.	game/scene1.rpy	148	a "[what]"
scene1_cfafda61	a	Soul magic like that makes me feel icky.	game/scene1.rpy	150	a "[what]"
scene1_894fac31	n	This line of conversation is making you think about yourself more critically than is comfortable.	game/scene1.rpy	152	n "[what]"
scene1_441dd2a5	n	You change the subject again.	game/scene1.rpy	153	n "[what]"
scene1_4fef5e83	s	What about my body here, then? Shouldn't I be soft, small, and full of cotton stuffing or something?	game/scene1.rpy	154	s "[what]"
scene1_62445c34	a	Nope! I tried this spell before with lower quality stuff, but... it didn't work out.	game/scene1.rpy	156	a "[what]"
scene1_7f586bf3	a	I HAD a rocking horse.	game/scene1.rpy	158	a "[what]"
scene1_5aaebccc	a	Maple Stirrup, you will be remembered.	game/scene1.rpy	160	a "[what]"
scene1_1ca501bf	a	I didn't really expect it to work with YOU either, but it's probably because Mom made Jophiel for me.	game/scene1.rpy	162	a "[what]"
scene1_8d602d87	a	She's a much more powerful Sorceress than me, so you must be made of quality stuff!	game/scene1.rpy	164	a "[what]"
scene1_769304e2	a	As soon as your soul took root, you became big like that!	game/scene1.rpy	166	a "[what]"
scene1_0329a5a1	s	Wow. Okay. So many questions about that. A lot to unpack there.	game/scene1.rpy	168	s "[what]"
scene1_9c480927	n	You sense an opportunity. If her mother is a powerful sorceress as well, maybe she could fix whatever is going on here and send you home?	game/scene1.rpy	169	n "[what]"
scene1_2a1d392c	s	So, uh, your mom is around then? I think we might be in need of some parental supervision.	game/scene1.rpy	170	s "[what]"
scene1_0a1b1909	a	No, Mom is away conducting her research. She's been away for a while. It's just me here while she's gone.	game/scene1.rpy	172	a "[what]"
scene1_4afac270	n	Aria's smile falls away for the first time since you woke. Her clear discomfort around this question gives you pause, but you push ahead regardless.	game/scene1.rpy	174	n "[what]"
scene1_bab97d3d	s	Oh, well, if she's been away for a while then that must be our quest? Let's go and find your mom!	game/scene1.rpy	175	s "[what]"
scene1_459f062b	a	No, I'm forbidden from interfering with Mom's work.	game/scene1.rpy	177	a "[what]"
scene1_3401a4b1	s	Oh. Then-	game/scene1.rpy	179	s "[what]"
scene1_28503a4f	a	Our quest is something of far greater, far NOBLER importance!	game/scene1.rpy	181	a "[what]"
scene1_cd3ae210	s	Well, maybe-	game/scene1.rpy	183	s "[what]"
scene1_0dbc8c84	a	Within this forest lies a creature foul and perverse.\nTo battle it is to court danger.\nTo challenge it is foolhardiness personified.	game/scene1.rpy	185	a "[what]"
scene1_0db631bd	a	BUT IT MUST BE DONE! THE BOG BEAST MUST BE CAPTURED!	game/scene1.rpy	187	a "[what]"
scene1_1a3f3859	a_excite	AND IF IT IS NOT BY OUR HAND, THEN BY WHOSE!?	game/scene1.rpy	189	a_excite "[what]"
scene1_64f81348	s	Anyone's! Yours! But not mine! I don't even have hands!?	game/scene1.rpy	191	s "[what]"
scene1_5ac177cb	a	But I'm not allowed in the forest without supervision.	game/scene1.rpy	193	a "[what]"
scene1_3f4f7e58	a	And Mom is never around to supervise me.	game/scene1.rpy	195	a "[what]"
scene1_ce64fd50	a	But you're an adult. You could supervise me...	game/scene1.rpy	197	a "[what]"
scene1_00ccdef8	n	This conversation is going nowhere. Or, at least, nowhere you want to go.	game/scene1.rpy	199	n "[what]"
scene1_39361d86	s	Aria, please. I understand you're bored, and maybe a little lonely, but I can't stay here, okay?	game/scene1.rpy	200	s "[what]"
scene1_06ad8278	s	I need to go home.	game/scene1.rpy	201	s "[what]"
scene1_bb8e4b4e_1	a	...	game/scene1.rpy	203	a "[what]"
scene1_e25ff0c6	a	I understand.	game/scene1.rpy	205	a "[what]"
scene1_c05d3d67	s	Okay, good-	game/scene1.rpy	207	s "[what]"
scene1_f4a0ac66	a	If that's what you really want, I will send you home.	game/scene1.rpy	209	a "[what]"
scene1_ae04431b	a	I promise.	game/scene1.rpy	211	a "[what]"
scene1_bb8e4b4e_2	a	...	game/scene1.rpy	213	a "[what]"
scene1_14270b10	a	But I can only open a gate between worlds when the borders are thinnest.	game/scene1.rpy	215	a "[what]"
scene1_29c167c7	n	You feel a sinking weight in your stomach.	game/scene1.rpy	217	n "[what]"
scene1_e3740e3f	s	When's that?	game/scene1.rpy	218	s "[what]"
scene1_d174a3ec	a	Dawn and Dusk.	game/scene1.rpy	220	a "[what]"
scene1_4c07ac51	a	I can't send you home until tonight.	game/scene1.rpy	222	a "[what]"
scene1_8bac7462	n	The weight in your stomach grows.	game/scene1.rpy	224	n "[what]"
